park_code,park_name,state,acres,latitude,longitude,trail_count,avg_popularity
ACAD,Acadia National Park,ME,47390,44.35,-68.21,179.0,8.375919553072626
ARCH,Arches National Park,UT,76519,38.68,-109.57,48.0,13.462422916666666
BADL,Badlands National Park,SD,242756,43.75,-102.5,10.0,13.14104
BIBE,Big Bend National Park,TX,801163,29.25,-103.25,70.0,7.17638
BISC,Biscayne National Park,FL,172924,25.65,-80.08,4.0,4.0552
BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,24.0,7.690120833333332
BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,31.0,16.61790322580645
CANY,Canyonlands National Park,UT,337598,38.2,-109.93,77.0,8.143584415584415
CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,42.0,9.006230952380953
CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,8.0,5.3294625
CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,22.0,5.62665
CONG,Congaree National Park,SC,26546,33.78,-80.78,8.0,6.675575
CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,22.0,12.43075
CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,50.0,8.771132
DENA,Denali National Park,AK,3372402,63.33,-150.5,20.0,6.091125
DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82,79.0,6.359222784810127
DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,1.0,5.1776
EVER,Everglades National Park,FL,1508538,25.32,-80.93,24.0,4.5320375
GLAC,Glacier National Park,MT,1013572,48.8,-114.0,132.0,10.061925
GLBA,Glacier Bay National Park,AK,3224840,58.5,-137.0,5.0,2.1591
GRBA,Great Basin National Park,NV,77180,38.98,-114.3,22.0,6.347131818181818
GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,99.0,9.71600101010101
GRSA,Great Sand Dunes National Park,CO,42984,37.73,-105.51,14.0,8.3819
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,293.0,8.313232081911263
GRTE,Grand Teton National Park,WY,309995,43.73,-110.8,102.0,9.373725490196078
GUMO,Guadalupe Mountains National Park,TX,86416,31.92,-104.87,24.0,7.075
HALE,Haleakala National Park,HI,29094,20.72,-156.17,14.0,13.723585714285715
HAVO,Hawaii Volcanoes National Park,HI,323431,19.38,-155.2,35.0,6.123488571428571
HOSP,Hot Springs National Park,AR,5550,34.51,-93.05,16.0,7.32681875
ISRO,Isle Royale National Park,MI,571790,48.1,-88.55,4.0,3.018375
JOTR,Joshua Tree National Park,CA,789745,33.79,-115.9,108.0,7.860078703703704
KATM,Katmai National Park,AK,3674530,58.5,-155.0,2.0,2.26325
KEFJ,Kenai Fjords National Park,AK,669983,59.92,-149.65,2.0,21.337600000000002
LAVO,Lassen Volcanic National Park,CA,106372,40.49,-121.51,59.0,7.117389830508475
MACA,Mammoth Cave National Park,KY,52830,37.18,-86.1,28.0,5.800725
MEVE,Mesa Verde National Park,CO,52122,37.18,-108.49,17.0,8.22590588235294
MORA,Mount Rainier National Park,WA,235625,46.85,-121.75,130.0,11.726443846153845
NOCA,North Cascades National Park,WA,504781,48.7,-121.2,20.0,9.37466
OLYM,Olympic National Park,WA,922651,47.97,-123.5,170.0,9.389507647058824
PEFO,Petrified Forest National Park,AZ,93533,35.07,-109.78,15.0,7.6882866666666665
PINN,Pinnacles National Park,CA,26606,36.48,-121.16,27.0,9.421903703703704
REDW,Redwood National Park,CA,112512,41.3,-124.0,22.0,7.145290909090909
ROMO,Rocky Mountain National Park,CO,265828,40.4,-105.58,207.0,13.007846376811596
SAGU,Saguaro National Park,AZ,91440,32.25,-110.5,60.0,6.6395566666666666
SEKI,Sequoia and Kings Canyon National Park,CA,865952,36.43,-118.68,151.0,9.243440397350994
SHEN,Shenandoah National Park,VA,199045,38.53,-78.35,187.0,8.517369518716578
THRO,Theodore Roosevelt National Park,ND,70447,46.97,-103.45,23.0,5.7858347826086955
VOYA,Voyageurs National Park,MN,218200,48.5,-92.88,7.0,3.0409285714285716
WICA,Wind Cave National Park,SD,28295,43.57,-103.48,10.0,5.50061
YELL,Yellowstone National Park,"WY, MT, ID",2219791,44.6,-110.5,228.0,7.006884210526316
YOSE,Yosemite National Park,CA,761266,37.83,-119.5,242.0,9.235685950413224
ZION,Zion National Park,UT,146598,37.3,-113.05,94.0,12.027557446808512
