park_name,category,count
Acadia National Park,Bird,331
Acadia National Park,Amphibian,12
Acadia National Park,Mammal,48
Acadia National Park,Fish,34
Acadia National Park,Reptile,10
Acadia National Park,Vascular Plant,1137
Arches National Park,Mammal,59
Arches National Park,Vascular Plant,703
Arches National Park,Amphibian,8
Arches National Park,Fish,11
Arches National Park,Reptile,20
Arches National Park,Bird,205
Badlands National Park,Amphibian,9
Badlands National Park,Spider/Scorpion,1
Badlands National Park,Bird,237
Badlands National Park,Fungi,173
Badlands National Park,Invertebrate,1
Badlands National Park,Fish,23
Badlands National Park,Mammal,63
Badlands National Park,Insect,239
Badlands National Park,Reptile,12
Badlands National Park,Vascular Plant,607
Big Bend National Park,Amphibian,11
Big Bend National Park,Reptile,62
Big Bend National Park,Mammal,88
Big Bend National Park,Fish,45
Big Bend National Park,Nonvascular Plant,48
Big Bend National Park,Bird,415
Big Bend National Park,Vascular Plant,1589
Biscayne National Park,Mammal,27
Biscayne National Park,Amphibian,8
Biscayne National Park,Reptile,37
Biscayne National Park,Bird,233
Biscayne National Park,Vascular Plant,473
Biscayne National Park,Fish,767
Biscayne National Park,Insect,11
Biscayne National Park,Invertebrate,34
Black Canyon of the Gunnison National Park,Fish,14
Black Canyon of the Gunnison National Park,Vascular Plant,832
Black Canyon of the Gunnison National Park,Reptile,11
Black Canyon of the Gunnison National Park,Amphibian,2
Black Canyon of the Gunnison National Park,Bird,173
Black Canyon of the Gunnison National Park,Mammal,67
Bryce Canyon National Park,Vascular Plant,879
Bryce Canyon National Park,Reptile,13
Bryce Canyon National Park,Bird,216
Bryce Canyon National Park,Fish,1
Bryce Canyon National Park,Amphibian,4
Bryce Canyon National Park,Mammal,76
Canyonlands National Park,Fish,33
Canyonlands National Park,Mammal,75
Canyonlands National Park,Amphibian,7
Canyonlands National Park,Reptile,22
Canyonlands National Park,Bird,220
Canyonlands National Park,Vascular Plant,809
Capitol Reef National Park,Bird,247
Capitol Reef National Park,Vascular Plant,1095
Capitol Reef National Park,Fish,14
Capitol Reef National Park,Amphibian,6
Capitol Reef National Park,Reptile,21
Capitol Reef National Park,Mammal,73
Carlsbad Caverns National Park,Reptile,62
Carlsbad Caverns National Park,Fish,5
Carlsbad Caverns National Park,Bird,367
Carlsbad Caverns National Park,Amphibian,14
Carlsbad Caverns National Park,Vascular Plant,994
Carlsbad Caverns National Park,Mammal,86
Channel Islands National Park,Slug/Snail,33
Channel Islands National Park,Mammal,42
Channel Islands National Park,Invertebrate,196
Channel Islands National Park,Spider/Scorpion,1
Channel Islands National Park,Crab/Lobster/Shrimp,11
Channel Islands National Park,Nonvascular Plant,68
Channel Islands National Park,Bird,354
Channel Islands National Park,Algae,61
Channel Islands National Park,Amphibian,3
Channel Islands National Park,Fish,273
Channel Islands National Park,Reptile,11
Channel Islands National Park,Vascular Plant,819
Channel Islands National Park,Insect,2
Congaree National Park,Fungi,279
Congaree National Park,Algae,74
Congaree National Park,Vascular Plant,883
Congaree National Park,Fish,64
Congaree National Park,Amphibian,43
Congaree National Park,Bird,193
Congaree National Park,Nonvascular Plant,7
Congaree National Park,Reptile,50
Congaree National Park,Mammal,38
Congaree National Park,Spider/Scorpion,21
Congaree National Park,Invertebrate,15
Congaree National Park,Insect,617
Congaree National Park,Slug/Snail,21
Congaree National Park,Crab/Lobster/Shrimp,6
Crater Lake National Park,Crab/Lobster/Shrimp,40
Crater Lake National Park,Algae,218
Crater Lake National Park,Slug/Snail,9
Crater Lake National Park,Fungi,192
Crater Lake National Park,Bird,250
Crater Lake National Park,Fish,9
Crater Lake National Park,Nonvascular Plant,193
Crater Lake National Park,Invertebrate,68
Crater Lake National Park,Mammal,89
Crater Lake National Park,Amphibian,19
Crater Lake National Park,Insect,994
Crater Lake National Park,Spider/Scorpion,17
Crater Lake National Park,Vascular Plant,1623
Crater Lake National Park,Reptile,20
Cuyahoga Valley National Park,Vascular Plant,1234
Cuyahoga Valley National Park,Slug/Snail,15
Cuyahoga Valley National Park,Fish,73
Cuyahoga Valley National Park,Mammal,44
Cuyahoga Valley National Park,Insect,227
Cuyahoga Valley National Park,Spider/Scorpion,2
Cuyahoga Valley National Park,Reptile,22
Cuyahoga Valley National Park,Amphibian,23
Cuyahoga Valley National Park,Invertebrate,16
Cuyahoga Valley National Park,Crab/Lobster/Shrimp,8
Cuyahoga Valley National Park,Bird,242
Death Valley National Park,Slug/Snail,72
Death Valley National Park,Crab/Lobster/Shrimp,38
Death Valley National Park,Nonvascular Plant,22
Death Valley National Park,Mammal,210
Death Valley National Park,Vascular Plant,2249
Death Valley National Park,Bird,497
Death Valley National Park,Spider/Scorpion,32
Death Valley National Park,Invertebrate,18
Death Valley National Park,Algae,60
Death Valley National Park,Fungi,123
Death Valley National Park,Reptile,83
Death Valley National Park,Insect,903
Death Valley National Park,Fish,9
Death Valley National Park,Amphibian,70
Denali National Park and Preserve,Mammal,41
Denali National Park and Preserve,Fungi,29
Denali National Park and Preserve,Insect,51
Denali National Park and Preserve,Amphibian,1
Denali National Park and Preserve,Bird,170
Denali National Park and Preserve,Vascular Plant,841
Denali National Park and Preserve,Fish,14
Denali National Park and Preserve,Nonvascular Plant,159
Denali National Park and Preserve,Invertebrate,3
Dry Tortugas National Park,Reptile,5
Dry Tortugas National Park,Bird,281
Dry Tortugas National Park,Fish,281
Dry Tortugas National Park,Invertebrate,42
Dry Tortugas National Park,Mammal,6
Dry Tortugas National Park,Vascular Plant,164
Everglades National Park,Mammal,42
Everglades National Park,Vascular Plant,1065
Everglades National Park,Fish,359
Everglades National Park,Amphibian,17
Everglades National Park,Reptile,59
Everglades National Park,Bird,361
