name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,features_list,activities_list,principal component 1,principal component 2,principal component 3,principal component 4,Class
Harding Ice Field Trail,Kenai Fjords National Park,Seward,Alaska,United States,24.8931,15610.598,1161.8976,5,out and back,3.0,5.0,423,1015,9,734,41,80,65,-2.256195345295466,1.3463902733687556,2.8930383373981163,0.32528183370161545,3
Exit Glacier Trail,Kenai Fjords National Park,Seward,Alaska,United States,17.7821,2896.812,81.9912,1,out and back,3.0,4.5,224,1015,9,734,41,51,21,-2.6436897186914505,1.0489337303741852,-0.5331635756036658,0.5519746064667324,1
Bright Angel Trail to Bright Angel Campground and River Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,37.4791,28485.318,1525.8288,5,out and back,3.0,5.0,670,2604,10,2387,125,57,52,-0.1630322268703736,2.592750796843893,3.153946955555454,2.825011381498779,3
South Kaibab Trail to Cedar Ridge,Grand Canyon National Park,Grand Canyon,Arizona,United States,36.2709,4988.954,358.7496,3,out and back,3.0,5.0,489,2604,10,2387,125,85,79,-0.4943813057391122,3.6612223113778537,2.1490357397483777,0.6599648398747717,3
Three-Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,33.256,8690.436,635.8128,5,out and back,3.0,4.5,454,2604,10,2387,125,57,52,-0.19727142819802373,2.386929685377314,1.7216147703561304,2.0494966364607707,3
"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,Grand Canyon,Arizona,United States,31.6323,26875.978,1400.8608,5,point to point,3.0,5.0,519,2604,10,2387,125,70,63,0.02432884930040296,2.14392492982531,2.9640784711771095,1.8172349912966046,3
South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,28.8685,2896.812,210.9216,3,out and back,3.0,5.0,455,2604,10,2387,125,32,48,-0.4263632570734128,2.466698922148949,0.39602681207781054,2.273314575587781,3
Grand Canyon Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,28.2035,8690.436,106.9848,1,out and back,3.0,4.5,342,2604,10,2387,125,76,11,-0.5663724782855588,2.684608624994269,-0.0077816878450774046,1.6163029890702891,3
Rim-to-Rim: North Kaibab to Grand Canyon Village,Grand Canyon National Park,North Rim,Arizona,United States,24.0229,34761.744,1614.8304,5,point to point,3.0,5.0,217,2604,10,2387,125,70,53,0.4162737620858998,0.6903407912313867,2.342944398676372,1.3890964435998419,2
Shoshone Point Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,22.7206,3379.614,45.72,1,out and back,1.0,5.0,224,2604,10,2387,125,76,65,-0.33566800248608925,2.4763462503014386,0.25724578939701775,-0.022415016893810695,3
Plateau Point Trail via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,22.5006,19633.948,961.9488,5,out and back,3.0,5.0,262,2604,10,2387,125,57,41,0.17247659366216295,1.0122570798136696,1.347500689376228,1.8801178905645088,3
South Kaibab Trail to Skeleton Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,22.1688,8690.436,602.8944,5,out and back,2.0,5.0,229,2604,10,2387,125,36,47,0.09503842774689575,1.000075760040398,0.608824456356415,2.0379752240585134,1
Grand Canyon West Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,21.652,20599.552,169.7736,1,point to point,3.0,4.5,158,2604,10,2387,125,94,80,-0.0710801464026021,2.1218024662309602,0.8854259461295867,-1.0205590750373854,3
