name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,num_features,num_activities,route_type_loop,route_type_out and back,route_type_point to point,principal component 1,principal component 2,principal component 3,principal component 4,Class
Harding Ice Field Trail,Kenai Fjords National Park,Seward,Alaska,United States,24.8931,15610.598,1161.8976,5,5.0,423,1015,9,734,41,7,5,0,1,0,-2.309365604955409,-0.1400920011476752,2.89904324432173,1.609243809104671,3
Exit Glacier Trail,Kenai Fjords National Park,Seward,Alaska,United States,17.7821,2896.812,81.9912,1,4.5,224,1015,9,734,41,4,2,0,1,0,-2.794931143842741,-0.7656520933221127,-0.29321615352000135,0.8459247605780191,4
Bright Angel Trail to Bright Angel Campground and River Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,37.4791,28485.318,1525.8288,5,5.0,670,2604,10,2387,125,5,4,0,1,0,-0.3872390378554617,-1.5414890078578904,3.5356069964145402,2.021928114139998,3
South Kaibab Trail to Cedar Ridge,Grand Canyon National Park,Grand Canyon,Arizona,United States,36.2709,4988.954,358.7496,3,5.0,489,2604,10,2387,125,7,6,0,1,0,-0.9421861047577749,-2.6688087089441703,3.0336180832229793,1.2947862210849053,3
Three-Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,33.256,8690.436,635.8128,5,4.5,454,2604,10,2387,125,5,4,0,1,0,-0.49749398892744073,-1.809984815524117,2.1758037224728786,1.6122111993311743,3
"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,Grand Canyon,Arizona,United States,31.6323,26875.978,1400.8608,5,5.0,519,2604,10,2387,125,6,5,0,0,1,0.5861430131259666,0.14497151453090093,3.9747445168332853,0.6040968097170809,3
South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,28.8685,2896.812,210.9216,3,5.0,455,2604,10,2387,125,3,4,0,1,0,-0.7852440380915449,-2.2136324310154856,1.1629167067333952,1.2830750121927608,3
Grand Canyon Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,28.2035,8690.436,106.9848,1,4.5,342,2604,10,2387,125,7,1,0,1,0,-0.9750933092772727,-2.4677976351887536,0.8911265919425881,1.0146924097431018,3
Rim-to-Rim: North Kaibab to Grand Canyon Village,Grand Canyon National Park,North Rim,Arizona,United States,24.0229,34761.744,1614.8304,5,5.0,217,2604,10,2387,125,6,4,0,0,1,1.1177438306185565,1.1335977442872442,2.781078021885849,0.5255212394047746,2
Shoshone Point Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,22.7206,3379.614,45.72,1,5.0,224,2604,10,2387,125,7,5,0,1,0,-0.747902222833224,-2.2716665760916053,1.087540129551273,0.8068845129995247,3
Plateau Point Trail via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,22.5006,19633.948,961.9488,5,5.0,262,2604,10,2387,125,5,3,0,1,0,0.026705083664199047,-0.7991922470936218,1.2517027094254447,1.6017954164067003,4
