park_code,park_name,state,acres,latitude,longitude,trail_count,avg_popularity,species_count
ACAD,Acadia National Park,ME,47390,44.35,-68.21,179,8.376,1709
ARCH,Arches National Park,UT,76519,38.68,-109.57,48,13.462,1048
BADL,Badlands National Park,SD,242756,43.75,-102.5,10,13.141,1389
BIBE,Big Bend National Park,TX,801163,29.25,-103.25,70,7.176,2269
BISC,Biscayne National Park,FL,172924,25.65,-80.08,4,4.055,1726
BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,24,7.690,1106
BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,31,16.618,1286
CANY,Canyonlands National Park,UT,337598,38.2,-109.93,77,8.144,1223
CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,42,9.006,1566
CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,8,5.329,1536
CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,22,5.627,1885
CONG,Congaree National Park,SC,26546,33.78,-80.78,8,6.676,2321
CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,22,12.431,3760
CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,50,8.771,1940
DENA,Denali National Park,AK,3372402,63.33,-150.5,20,6.091,1320
DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82,79,6.359,4439
DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,1,5.178,848
EVER,Everglades National Park,FL,1508538,25.32,-80.93,24,4.532,2084
GLAC,Glacier National Park,MT,1013572,48.8,-114.0,132,10.062,2556
GLBA,Glacier Bay National Park,AK,3224840,58.5,-137.0,5,2.159,1957
GRBA,Great Basin National Park,NV,77180,38.98,-114.3,22,6.347,2653
GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,99,9.716,2622
GRSA,Great Sand Dunes National Park,CO,42984,37.73,-105.51,14,8.382,952
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,293,8.313,6623
GRTE,Grand Teton National Park,WY,309995,43.73,-110.8,102,9.374,2030
GUMO,Guadalupe Mountains National Park,TX,86416,31.92,-104.87,24,7.075,1746
HALE,Haleakala National Park,HI,29094,20.72,-156.17,14,13.724,2580
HAVO,Hawaii Volcanoes National Park,HI,323431,19.38,-155.2,35,6.123,3298
HOSP,Hot Springs National Park,AR,5550,34.51,-93.05,16,7.327,1950
ISRO,Isle Royale National Park,MI,571790,48.1,-88.55,4,3.018,1397
JOTR,Joshua Tree National Park,CA,789745,33.79,-115.9,108,7.860,2294
KATM,Katmai National Park,AK,3674530,58.5,-155.0,2,2.263,1225
KEFJ,Kenai Fjords National Park,AK,669983,59.92,-149.65,2,21.338,1057
LAVO,Lassen Volcanic National Park,CA,106372,40.49,-121.51,59,7.117,1797
MACA,Mammoth Cave National Park,KY,52830,37.18,-86.1,28,5.801,2499
MEVE,Mesa Verde National Park,CO,52122,37.18,-108.49,17,8.226,1243
MORA,Mount Rainier National Park,WA,235625,46.85,-121.75,130,11.726,1743
NOCA,North Cascades National Park,WA,504781,48.7,-121.2,20,9.375,3363
OLYM,Olympic National Park,WA,922651,47.97,-123.5,170,9.390,1948
PEFO,Petrified Forest National Park,AZ,93533,35.07,-109.78,15,7.688,853
PINN,Pinnacles National Park,CA,26606,36.48,-121.16,27,9.422,1416
REDW,Redwood National Park,CA,112512,41.3,-124.0,22,7.145,6310
ROMO,Rocky Mountain National Park,CO,265828,40.4,-105.58,207,13.008,3152
SAGU,Saguaro National Park,AZ,91440,32.25,-110.5,60,6.640,1834
SEKI,Sequoia and Kings Canyon National Park,CA,865952,36.43,-118.68,151,9.243,1995
SHEN,Shenandoah National Park,VA,199045,38.53,-78.35,187,8.517,4655
THRO,Theodore Roosevelt National Park,ND,70447,46.97,-103.45,23,5.786,1165
VOYA,Voyageurs National Park,MN,218200,48.5,-92.88,7,3.041,1453
WICA,Wind Cave National Park,SD,28295,43.57,-103.48,10,5.501,1395
YELL,Yellowstone National Park,"WY, MT, ID",2219791,44.6,-110.5,228,7.007,3966
YOSE,Yosemite National Park,CA,761266,37.83,-119.5,242,9.236,2088
ZION,Zion National Park,UT,146598,37.3,-113.05,94,12.028,1796
